id	primary_sgdid	systematic_name	common_name	common_name_explanation	aliases	description
2364	S000002645	YDR237W	MRPL7	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL7/YmL5|uL5m|YmL5|YmL7	Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7, which are two different modified forms of the same protein
2365	S000002646	YDR238C	SEC26	SECretory	coatomer subunit beta	Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)
2366	S000002647	YDR239C				Protein of unknown function; may interact with ribosomes, based on co-purification experiments
2367	S000002648	YDR240C	SNU56	Small NUclear ribonucleoprotein associated	MUD10	Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart; interacts with mRNA in commitment complex
2368	S000002649	YDR241W	BUD26	BUD site selection		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 1% of ORF overlaps the verified gene SNU56; diploid mutant displays a weak budding pattern phenotype in a systematic assay
2369	S000002650	YDR242W	AMD2	AMiDase	putative amidase	Putative amidase
2370	S000002651	YDR243C	PRP28	Pre-mRNA Processing	mRNA splicing protein PRP28	Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family
2371	S000002652	YDR244W	PEX5	PEroXin	PAS10	Peroxisomal membrane signal receptor for peroxisomal matrix proteins; receptor for the C-terminal tripeptide signal sequence (PTS1) of peroxisomal matrix proteins; required for peroxisomal matrix protein import; also proposed to have PTS1-receptor independent functions
2372	S000002653	YDR245W	MNN10	MaNNosyltransferase	alpha-1,6-mannosyltransferase|BED1|REC41|SLC2	Subunit of a Golgi mannosyltransferase complex; complex mediates elongation of the polysaccharide mannan backbone; membrane protein of the mannosyltransferase family; other members of the complex are Anp1p, Mnn9p, Mnn11p, and Hoc1p
2373	S000002654	YDR246W	TRS23	TRapp Subunit	TRAPP subunit TRS23	Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); human homolog is TRAPPC4
2374	S000002655	YDR247W	VHS1	Viable in a Hal3 Sit4 background	putative serine/threonine protein kinase VHS1	Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant, suggesting a role in G1/S phase progression; VHS1 has a paralog, SKS1, that arose from the whole genome duplication
2375	S000002656	YDR248C			gluconokinase	Putative gluconokinase; sequence similarity to bacterial and human gluconokinase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; upregulated by deletion of the RNAP-II associated factor, PAF1
2376	S000002657	YDR249C				Putative protein of unknown function
2377	S000002658	YDR250C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
2378	S000002659	YDR251W	PAM1	Pp2A Multicopy suppressor		Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A, inhibits growth, and induces a filamentous phenotype; PAM1 has a paralog, SVL3, that arose from the whole genome duplication
2379	S000002660	YDR252W	BTT1	BTf Three	CCR4-NOT core subunit BTT1	Heterotrimeric nascent polypeptide-associated complex beta3 subunit; complex binds ribosomes via its beta-subunits in close proximity to nascent polypeptides; interacts with Caf130p of the CCR4-NOT complex; similar to human BTF3; BTT1 has a paralog, EGD1, that arose from the whole genome duplication
2380	S000002661	YDR253C	MET32	METhionine requiring		Zinc-finger DNA-binding transcription factor; involved in transcriptional regulation of the methionine biosynthetic genes; targets strong transcriptional activator Met4p to promoters of sulfur metabolic genes; feedforward loop exists in the regulation of genes controlled by Met4p and Met32p; lack of such a loop for MET31 may account for the differential actions of Met32p and Met31p; MET32 has a paralog, MET31, that arose from the whole genome duplication
2381	S000002662	YDR254W	CHL4	CHromosome Loss	CTF17|MCM17	Outer kinetochore protein required for chromosome stability; involved in new kinetochore assembly and sister chromatid cohesion; forms a stable complex with Iml3p; peripheral component of the Ctf19 kinetochore complex that interacts with Ctf19p, Ctf3p, and Mif2p; required for the spindle assembly checkpoint; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-N and fission yeast mis15
2382	S000002663	YDR255C	RMD5	Required for Meiotic nuclear Division	GID2|ubiquitin-protein ligase RMD5	Component of GID Complex that confers ubiquitin ligase (U3) activity; necessary for polyubiquitination and degradation of the gluconeogenic enzyme fructose-1,6-bisphosphatase; forms dimer with Fyv10p that is then recruited to GID Complex by Gid8p; also required for sporulation; conserved protein that has a degenerate RING finger domain
2383	S000002664	YDR256C	CTA1	CaTalase A	catalase A	Catalase A; breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation
2384	S000002665	YDR257C	RKM4	Ribosomal lysine (K) Methyltransferase	ribosomal lysine N-methyltransferase|RMS1|SET7	Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 55); nuclear SET-domain containing protein
2385	S000002666	YDR258C	HSP78	Heat Shock Protein	chaperone ATPase HSP78	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates
2386	S000002667	YDR259C	YAP6	Yeast homolog of AP-1	HAL7	Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog, CIN5, that arose from the whole genome duplication
2387	S000002668	YDR260C	SWM1	Spore Wall Maturation	APC13	Subunit of the anaphase-promoting complex (APC); APC is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation
2388	S000002669	YDR261C	EXG2	EXo-1,3-beta-Glucanase	glucan exo-1,3-beta-glucosidase	Exo-1,3-beta-glucanase; involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor
2389	S000002670	YDR262W				Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-damaging agent MMS; gene expression increases in response to Zymoliase treatment
2390	S000002671	YDR263C	DIN7	DNA Damage INducible	DIN3|exodeoxyribonuclease DIN7	Mitochondrial nuclease functioning in DNA repair and replication; modulates the stability of the mitochondrial genome, induced by exposure to mutagens, also induced during meiosis at a time nearly coincident with commitment to recombination; DIN7 has a paralog, EXO1, that arose from the whole genome duplication
2391	S000002672	YDR264C	AKR1	AnKyrin Repeat containing	palmitoyltransferase AKR1	Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog, AKR2, that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant
2392	S000002673	YDR265W	PEX10	PEroXin	PAS4|ubiquitin-protein ligase peroxin 10	Peroxisomal membrane E3 ubiquitin ligase; required for for Ubc4p-dependent Pex5p ubiquitination and peroxisomal matrix protein import; contains zinc-binding RING domain; mutations in human homolog cause various peroxisomal disorders
2393	S000002674	YDR266C	HEL2	Histone E3 Ligase	E3 ubiquitin-protein ligase HEL2|RQT1	RING finger ubiquitin ligase (E3); subunit of ribosome-associated quality control trigger complex (RQT); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; required to trigger ribosome-associated quality control (RQC) and canonical no-go decay; ubiquitinates Rps20 and Rps3; binds to ribosomal RNA, mRNA and tRNA
2394	S000002675	YDR267C	CIA1	Cytosolic Iron-sulfur protein Assembly	iron-sulfur cluster assembly protein CIA1	Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at late step of Fe-S cluster assembly; forms CIA targeting complex with Cia2p and Met18p that directs Fe-S cluster incorporation and maturation of a subset of cytosolic and nuclear proteins involved in methionine biosynthesis, DNA replication and repair, transcription and telomere maintenance; contains WD40 repeats; human homolog CIAO1 complements the yeast cia1 null mutant
2395	S000002676	YDR268W	MSW1	Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)	tryptophan--tRNA ligase MSW1	Mitochondrial tryptophanyl-tRNA synthetase
2396	S000002677	YDR269C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
2397	S000002678	YDR270W	CCC2	Cross-Complements Ca(2+) phenotype of csg1	Cu(2+)-transporting P-type ATPase CCC2	Cu(+2)-transporting P-type ATPase; required for export of copper from the cytosol into an extracytosolic compartment; similar to human proteins involved in Menkes and Wilsons diseases; protein abundance increases in response to DNA replication stress; affects TBSV model (+)RNA virus replication by regulating copper metabolism; human homologs ATP7A and ATP7B both complement yeast null mutant
2398	S000002679	YDR271C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CCC2/YDR270W
2399	S000002680	YDR272W	GLO2	GLyOxalase	hydroxyacylglutathione hydrolase GLO2	Cytoplasmic glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO2 has a paralog, GLO4, that arose from the whole genome duplication
2400	S000002681	YDR273W	DON1	DONut		Meiosis-specific component of the spindle pole body; subunit of the leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms a ring-like structure at the leading edge of the prospore membrane (PSM) during meiosis II; required for PSM growth and closure; DON1 has a paralog, CUE5, that arose from the whole genome
2401	S000002682	YDR274C				Putative protein of unknown function; conserved among S. cerevisiae strains; YDR274C is not an essential gene
2402	S000002683	YDR275W	BSC2	Bypass of Stop Codon		Protein of unknown function; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; null mutant displays increased translation rate and increased readthrough of premature stop codons; BSC2 has a paralog, IRC23, that arose from the whole genome duplication
2403	S000002684	YDR276C	PMP3	Plasma Membrane Proteolipid	SNA1	Small plasma membrane protein; confers resistance to amphotericin B and is a potential target of this common antifungal drug; related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature; not essential for viability; deletion causes hyperpolarization of the plasma membrane potential
2404	S000002685	YDR277C	MTH1	MSN Three Homolog	BPC1|DGT1|HTR1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
2405	S000002686	YDR278C				Putative protein of unknown function; conserved among S. cerevisiae strains; YDR278C is not an essential gene
2406	S000002687	YDR279W	RNH202	RNase H	Rnh2B	Ribonuclease H2 subunit; required for RNase H2 activity; role in ribonucleotide excision repair; related to human AGS2 that causes Aicardi-Goutieres syndrome
2407	S000002688	YDR280W	RRP45	Ribosomal RNA Processing	exosome non-catalytic core subunit RRP45	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp45p (PM/SCL-75, EXOSC9); protein abundance increases in response to DNA replication stress
2408	S000002689	YDR281C	PHM6	PHosphate Metabolism		Protein of unknown function; expression is regulated by phosphate levels
2409	S000002690	YDR282C	MRX10	Mitochondrial oRganization of gene eXpression (MIOREX)		Mitochondrial inner membrane protein of unknown function; associates with mitochondrial ribosome; localizes to the inner membrane with the C terminus facing the intermembrane space; ortholog of human RMND1, mutation in which is implicated in infantile encephaloneuromyopathy and defective mitochondrial translation
2410	S000002691	YDR283C	GCN2	General Control Nonderepressible	AAS1|AAS102|NDR2|serine/threonine-protein kinase GCN2	Protein kinase; phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control
2411	S000002692	YDR284C	DPP1	Diacylglycerol Pyrophosphate Phosphatase	bifunctional diacylglycerol diphosphate phosphatase/phosphatidate phosphatase|ZRG1	Diacylglycerol pyrophosphate (DGPP) phosphatase; zinc-regulated vacuolar membrane-associated lipid phosphatase, dephosphorylates DGPP to phosphatidate (PA) and Pi, then PA to diacylglycerol; involved in lipid signaling and cell metabolism
2412	S000002693	YDR285W	ZIP1	molecular ZIPper		Transverse filament protein of the synaptonemal complex; required for normal levels of meiotic recombination and pairing between homologous chromosome during meiosis; required for meiotic recombination between non-allelc sites; potential Cdc28p substrate
2413	S000002694	YDR286C	MGP12	Mitochondrial Glutaredoxin-like Protein of 12 kDa		Mitochondrial protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site
2414	S000002695	YDR287W	INM2	INositol Monophosphatase	inositol monophosphate 1-phosphatase INM2	Inositol monophosphatase; involved in biosynthesis of inositol; enzymatic activity requires magnesium ions and is inhibited by lithium and sodium ions; inm1 inm2 double mutant lacks inositol auxotrophy
2415	S000002696	YDR288W	NSE3	Non SMC Element	Smc5-Smc6 complex subunit NSE3	Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; protein abundance increases in response to DNA replication stress
2416	S000002697	YDR289C	RTT103	Regulator of Ty1 Transposition		Protein involved in transcription termination by RNA polymerase II; interacts with exonuclease Rat1p and Rai1p; has an RPR domain (carboxy-terminal domain interacting domain); also involved in regulation of Ty1 transposition
2417	S000002698	YDR290W			SWS1	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RTT103
2418	S000002699	YDR291W	HRQ1	Homologous to RecQ protein	ATP-dependent 3'-5' DNA helicase	3'-5' DNA helicase of the conserved RecQ family; involved in Pso2p-mediated interstrand crosslink repair; acts with Rad4p in nucleotide-excision repair; binds telomeres, modulates telomerase activity with Pif1p and inhibits telomere addition to dsDNA breaks; role in telomerase-independent telomere maintenance; lacks ssDNA annealing and strand exchange activities; human RecQL4, a structural and functional homolog, is involved in Rothmund-Thomson, Baller-Gerold and RAPADILINO syndromes
2419	S000002700	YDR292C	SRP101	Signal Recognition Particle	Signal recognition particle receptor subunit alpha	Signal recognition particle (SRP) receptor alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with the beta subunit, Srp102p
2420	S000002701	YDR293C	SSD1	Suppressor of SIT4 Deletion	CLA1|MCS1|mRNA-binding translational repressor SSD1|RLT1|SRK1	Translational repressor with a role in polar growth and wall integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control and localization of specific mRNAs; interacts with TOR pathway components; contains a functional N-terminal nuclear localization sequence and nucleocytoplasmic shuttling appears to be critical to Ssd1p function
2421	S000002702	YDR294C	DPL1	Dihydrosphingosine Phosphate Lyase	BST1|sphinganine-1-phosphate aldolase DPL1	Dihydrosphingosine phosphate lyase; regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long chain bases, prefers C16 dihydrosphingosine-l-phosphate as a substrate
2422	S000002703	YDR295C	HDA2	Histone DeAcetylase	PLO2	Subunit of the HDA1 histone deacetylase complex; possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex contains Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance; relocalizes to the cytosol in response to hypoxia
2423	S000002704	YDR296W	MHR1	Mitochondrial Homologous Recombination	mL67|XTC1	Mitochondrial ribosomal protein of the large subunit; also involved in homologous recombination in mitochondria; required for recombination-dependent mtDNA partitioning; involved in stimulation of mitochondrial DNA replication in response to oxidative stress
2424	S000002705	YDR297W	SUR2	SUppressor of Rvs161 and rvs167 mutations	sphingosine hydroxylase|SYR2	Sphinganine C4-hydroxylase; catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis
2425	S000002706	YDR298C	ATP5	ATP synthase	F1F0 ATP synthase subunit 5|OSC1	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
2426	S000002707	YDR299W	BFR2	BreFeldin A Resistance	rRNA-processing protein BFR2	Component of the SSU and 90S preribosomes; involved in pre-18S rRNA processing; binds to U3 snoRNA and Mpp10p; multicopy suppressor of sensitivity to Brefeldin A; expression is induced during lag phase and also by cold shock
2427	S000002708	YDR300C	PRO1	PROline requiring	glutamate 5-kinase	Gamma-glutamyl kinase; catalyzes the first step in proline biosynthesis; required for nitrogen starvation-induced ribophagy but not for nonselective autophagy; PRO1 has a paralog, YHR033W, that arose from the whole genome duplication
2428	S000002709	YDR301W	CFT1	Cleavage Factor Two	cleavage/polyadenylation factor CFT1|YHH1	RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation, 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF
2429	S000002710	YDR302W	GPI11	GlycosylPhosphatidylInositol anchor biosynthesis	mannose-ethanolamine phosphotransferase GPI11	ER membrane protein involved in a late step of GPI anchor assembly; involved in the addition of phosphoethanolamine to the multiply mannosylated glycosylphosphatidylinositol (GPI) intermediate; human PIG-Fp is a functional homolog
2430	S000002711	YDR303C	RSC3	Remodel the Structure of Chromatin		Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; RSC3 has a paralog, RSC30, that arose from the whole genome duplication
2431	S000002712	YDR304C	CPR5	Cyclosporin-sensitive Proline Rotamase	CYP5|peptidylprolyl isomerase family protein CPR5	Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the ER; catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER; CPR5 has a paralog, CPR2, that arose from the whole genome duplication
2432	S000002713	YDR305C	HNT2	Histidine triad NucleoTide-binding	APH1|bis(5'-adenosyl)-triphosphatase	Dinucleoside triphosphate hydrolase; has similarity to the tumor suppressor FHIT and belongs to the histidine triad (HIT) superfamily of nucleotide-binding proteins
2433	S000002714	YDR306C	PFU1	Pheromone, F-box, Ubiquitination		F-box protein that regulates pheromone-dependent morphogenesis; interacts with Sgt1p via a Leucine-Rich Repeat (LRR) domain
2434	S000002715	YDR307W	PMT7		putative dolichyl-phosphate-mannose--protein mannosyltransferase	Putative protein mannosyltransferase similar to Pmt1p; has a potential role in protein O-glycosylation
2435	S000002716	YDR308C	SRB7	Suppressor of RNA polymerase B	MED21|SSX1	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; target of the global repressor Tup1p
2436	S000002717	YDR309C	GIC2	GTPase Interactive Component		Rho-family GTPase interacting protein and Cdc42p effector; required with Gic1p for cell polarity establishment and initiation of budding; involved in recruitment of septins to the presumptive bud site; interacts with Cdc42p via the Cdc42/Rac-interactive binding (CRIB) domain and with PI(4,5)P2 via a polybasic region; gic1 gic2 double mutants are defective for polarizing Cdc42p at elevated temperature, so may function both up- and downstream of Cdc42p; regulates mitotic exit
2437	S000002718	YDR310C	SUM1	SUppresor of Mar1-1		Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint
2438	S000002719	YDR311W	TFB1	Transcription Factor B	TFIIH/NER complex subunit TFB1	Subunit of TFIIH and nucleotide excision repair factor 3 complexes; required for nucleotide excision repair, target for transcriptional activators; relocalizes to the cytosol in response to hypoxia
2439	S000002720	YDR312W	SSF2	Suppressor of ste4 (Four)	rRNA-binding ribosome biosynthesis protein	Protein required for ribosomal large subunit maturation; functionally redundant with Ssf1p; member of the Brix family; SSF2 has a paralog, SSF1, that arose from the whole genome duplication
2440	S000002721	YDR313C	PIB1	PhosphatidylInositol(3)-phosphate Binding	phosphatidylinositol-3-phosphate-binding ubiquitin-protein ligase	RING-type ubiquitin ligase of the endosomal and vacuolar membranes; binds phosphatidylinositol(3)-phosphate; contains a FYVE finger domain
2441	S000002722	YDR314C	RAD34	Homologous to RAD4		Protein involved in nucleotide excision repair (NER); homologous to RAD4
2442	S000002723	YDR315C	IPK1	Inositol Polyphosphate Kinase	GSL1|inositol pentakisphosphate 2-kinase	Inositol 1,3,4,5,6-pentakisphosphate 2-kinase; nuclear protein required for synthesis of 1,2,3,4,5,6-hexakisphosphate (phytate), which is integral to cell function; has 2 motifs conserved in other fungi; ipk1 gle1 double mutant is inviable; human IPPK can complement ipk1 null mutant
2443	S000002724	YDR316W	OMS1	OXA1 Multicopy Suppressor	putative RNA methyltransferase	Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations
2444	S000002725	YDR317W	HIM1	High Induced Mutagenesis		Protein of unknown function involved in DNA repair
2445	S000002726	YDR318W	MCM21	MiniChromosome Maintenance	CTF5	Component of the kinetochore sub-complex COMA; COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) bridges kinetochore subunits in contact with centromeric DNA with subunits bound to microtubules during kinetochore assembly; involved in minichromosome maintenance; modified by sumoylation; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-O and fission yeast mal2
2446	S000002727	YDR319C	YFT2		FIT2A	Protein required for normal ER membrane biosynthesis in response to ER stress; member of the highly conserved FIT family of proteins involved in triglyceride droplet biosynthesis; homologous to human FIT2/FITM2, a fatty acyl-CoA diphosphatase; interacts with Sst2p and Hsp82p in high-throughput two-hybrid screens 
2447	S000002728	YDR320C	SWA2	Synthetic lethal With Arf1	AUX1|BUD24	Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles; required for propagation of [URE3] prion variant
2448	S000002729	YDR321W	ASP1	ASParaginase	asparaginase ASP1	Cytosolic L-asparaginase, involved in asparagine catabolism; catalyzes hydrolysis of L-asparagine to aspartic acid and ammonia; important enzyme for the treatment of acute lymphoblastic leukemia; has low glutaminase activity and dependence; synthesized constitutively
2449	S000002730	YDR322W	MRPL35	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL35|mL38|YmL35	Mitochondrial ribosomal protein of the large subunit; involved together with Mrp7p in assembly of cytochrome c oxidase
2450	S000002731	YDR323C	PEP7	carboxyPEPtidase Y-deficient	VAC1|VPL21|VPS19|VPT19	Adaptor protein involved in vesicle-mediated vacuolar protein sorting; multivalent adaptor protein; facilitates vesicle-mediated vacuolar protein sorting by ensuring high-fidelity vesicle docking and fusion, which are essential for targeting of vesicles to the endosome; required for vacuole inheritance
2451	S000002732	YDR324C	UTP4	U Three Protein		Subunit of U3-containing 90S preribosome and SSU processome complexes; involved in production of 18S rRNA and assembly of small ribosomal subunit; member of t-Utp subcomplex involved with transcription of 35S rRNA transcript; Small Subunit processome is also known as SSU processome
2452	S000002733	YDR325W	YCG1	Yeast Cap G	condensin subunit YCG1|TIE1|YCS5	Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding by the complex; required for tRNA genes clustering at the nucleolus; required for replication slow zone breakage following Mec1p inactivation; transcription is cell cycle regulated, peaking in mitosis and declining in G1; protein is constitutively degraded by the proteasome; rate limiting for condensin recruitment to chromatin
2453	S000002734	YDR326C	YSP2	Yeast Suicide Protein	LAM2|LTC4	Sterol-binding protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; contains two StART-like domains that bind sterols and a GRAM domain; co-localizes to puncta in the cortical ER with Sip3p; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes
2454	S000002735	YDR327W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene SKP1
2455	S000002736	YDR328C	SKP1	Suppressor of Kinetochore Protein mutant	CBF3D|MGO1|SCF ubiquitin ligase subunit SKP1	Evolutionarily conserved kinetochore protein; part of multiple protein complexes, including the SCF ubiquitin ligase complex, the CBF3 complex that binds centromeric DNA, and the RAVE complex that regulates assembly of the V-ATPase; protein abundance increases in response to DNA replication stress
2456	S000002737	YDR329C	PEX3	PEroXin	PAS3	Peroxisomal membrane protein (PMP); required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p
2457	S000002738	YDR330W	UBX5	UBiquitin regulatory X		UBX domain-containing protein that interacts with Cdc48p; ubiquitin regulatory X is also known as UBX
2458	S000002739	YDR331W	GPI8	GlycosylPhosphatidylInositol anchor biosynthesis	GPI-anchor transamidase	Catalytic subunit of the ER membrane GPI transamidase complex; involved in adding glycosylphosphatidylinositol (GPI) anchors to newly synthesized proteins; luminally-oriented type I integral membrane glycoprotein of the ER; human PIGK protein is a functional homolog
2459	S000002740	YDR332W	IRC3	Increased Recombination Centers	double-stranded DNA-dependent ATPase	Double-stranded DNA-dependent helicase of the DExH/D-box family; branch point-binding helicase that preferentially unwinds the nascent lagging strand with a 3' to 5' polarity at a replication fork; contains double-stranded DNA translocase activity; responsible for DNA branch migration; required for maintenance of the mitochondrial (mt) genome; localizes to the mitochondrial matrix; monomeric
2460	S000002741	YDR333C	RQC1	Ribosome Quality Control		Component of the ribosome quality control complex (RQC); RQC (Rqc1p-Rkr1p-Rqc2p-Cdc48p-Npl4p-Ufd1p) is a ribosome-bound complex required for the degradation of polypeptides arising from stalled translation; required along with Rkr1p for recruitment of the Cdc48p-Npl4p-Ufd1p AAA ATPase complex to the RQC
2461	S000002742	YDR334W	SWR1	SWi2/snf2-Related	chromatin-remodeling protein SWR1	Swi2/Snf2-related ATPase; catalytic subunit of SWR1 complex, which exchanges histone variant H2A.Z (Htz1p) for chromatin-bound histone H2A; N-terminus can deliver H2A.Z-H2B dimer to DNA-(H3-H4)2 tetrasome; relocalizes to cytosol in response to hypoxia; chronological aging factor, mediates lifespan extension by dietary restriction
2462	S000002743	YDR335W	MSN5	Multicopy suppressor of SNf1 mutation	KAP142|karyopherin MSN5|STE21	Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog
2463	S000002744	YDR336W	MRX8	Mitochondrial oRganization of gene eXpression (MIOREX)		Protein that associates with mitochondrial ribosome; sumoylated under stress conditions in a genome wide study; YDR336W is not an essential gene
2464	S000002745	YDR337W	MRPS28	Mitochondrial Ribosomal Protein, Small subunit	mitochondrial 37S ribosomal protein MRPS28|uS15m	Mitochondrial ribosomal protein of the small subunit
2465	S000002746	YDR338C				Putative protein of unknown function; member of the multi-drug and toxin extrusion (MATE) family of the multidrug/oligosaccharidyl-lipid/polysaccharide (MOP) exporter superfamily
2466	S000002747	YDR339C	FCF1	Faf1p Copurifying Factor	rRNA-processing protein FCF1|UTP24	PINc domain endonuclease required for early cleavage of 35S pre-rRNA and maturation of 18S rRNA; component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; copurifies with Faf1p
2467	S000002748	YDR340W				Putative protein of unknown function
2468	S000002749	YDR341C			arginine--tRNA ligase|ArgRS|RRS1	Arginyl-tRNA synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDR341C has a paralog, MSR1, that arose from the whole genome duplication
2469	S000002750	YDR342C	HXT7	HeXose Transporter	hexose transporter HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
