Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YJL100W::chr10_2	LSB6	0.30137	0.0490762	"Type II phosphatidylinositol 4-kinase that binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization"	"1-phosphatidylinositol 4-kinase activity (IEA, IDA, IMP); kinase activity (IEA); magnesium ion binding (IEA); manganese ion binding (IEA); metal ion binding (IEA); phosphotransferase activity, alcohol group as acceptor (IEA); transferase activity (IEA)"	"phosphoinositide phosphorylation (IMP, IDA)"	"cytoplasm (IDA); fungal-type vacuole membrane (IDA); membrane (IEA); plasma membrane (IDA, IEA); vacuolar membrane (IEA); vacuole (IEA)"	no	hom
YJL101C::chr00_15	GSH1	-0.816699	-0.0516425	"Gamma glutamylcysteine synthetase catalyzes the first step in glutathione (GSH) biosynthesis; expression induced by oxidants, cadmium, and mercury"	"glutamate-cysteine ligase activity (IDA, IEA, IMP); ligase activity (IEA)"	"glutathione biosynthetic process (IDA, IEA, IMP); response to cadmium ion (IDA, IEP); response to cold (IEP); response to drug (IMP); response to heat (IEP); response to hydrogen peroxide (IMP, IEP); response to mercury ion (IEP)"	intracellular (IDA)	no	hom
YJL102W::chr10_2	MEF2	0.67759	0.0873634	Mitochondrial elongation factor involved in translational elongation	"GTP binding (IEA); GTPase activity (IEA); nucleotide binding (IEA); translation elongation factor activity (IEA, ISS)"	translation (IEA); translational elongation (ISS)	"mitochondrion (IDA, IEA, ISS)"	no	hom
YJL103C::chr00_18	GSM1	-0.0422836	0.0219005	"Putative zinc cluster protein of unknown function; proposed to be involved in the regulation of energy metabolism, based on patterns of expression and sequence analysis"	"DNA binding (IEA, IDA); metal ion binding (IEA); transcription factor activity (IEA); zinc ion binding (IEA)"	"oxidative phosphorylation (ISS, IEP); regulation of transcription, DNA-dependent (IEA); sporulation (IEA); transcription (IEA)"	cellular_component (ND); nucleus (IEA)	no	hom
YJL104W::chr10_2	PAM16	1.57114	0.12384	"Constituent of the mitochondrial import motor associated with the presequence translocase, along with Ssc1p, Tim44p, Mge1p, and Pam18p; forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains J-like domain"	"enzyme inhibitor activity (IDA); protein binding (IDA); protein transporter activity (IMP, IPI)"	"intracellular protein transport across a membrane (IEA); protein import into mitochondrial matrix (IMP, IPI); protein transport (IEA); transport (IEA)"	"membrane (IEA); mitochondrial inner membrane (IEA); mitochondrial inner membrane presequence translocase complex (IDA); mitochondrion (IDA, IEA); presequence translocase-associated import motor (IDA)"	yes	het
YJL105W::chr00_15	SET4	3.47695	0.799211	"Protein of unknown function, contains a SET domain"	metal ion binding (IEA); molecular_function (ND); zinc ion binding (IEA)	biological_process (ND); chromatin modification (IEA)	cellular_component (ND); nucleus (IEA)	no	hom
YJL106W::chr10_2	IME2	1.27953	0.0780701	"Serine/threonine protein kinase involved in activation of meiosis, associates with Ime1p and mediates its stability, activates Ndt80p; IME2 expression is positively regulated by Ime1p"	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, IDA); protein serine/threonine kinase activity (IEA); transferase activity (IEA)"	"meiosis (IEA); protein amino acid phosphorylation (IEA, TAS); regulation of meiosis (IMP); sporulation (IEA)"	nucleus (IDA)	no	hom
YJL107C::chr10_2	YJL107C	0.518949	0.0572058	"Putative protein of unknown function; expression is induced by activation of the HOG1 mitogen-activated signaling pathway and this induction is Hog1p/Pbs2p dependent; YJL107C and adjacent ORF, YJL108C are merged in related fungi"	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YJL108C::chr10_2	PRM10	-0.248566	-0.0272735	"Pheromone-regulated protein, predicted to have 5 transmembrane segments; induced by treatment with 8-methoxypsoralen and UVA irradiation"	molecular_function (ND)	conjugation with cellular fusion (IEP); response to pheromone (IEP)	"integral to membrane (IEA, ISS); membrane (IEA)"	no	hom
YJL109C::chr10_2	UTP10	1.84424	0.0847387	"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"	binding (IEA); snoRNA binding (IPI)	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (IMP); endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (IMP); endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (IMP); maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (IMP); positive regulation of transcription from RNA polymerase I promoter (IMP); rRNA processing (IEA); ribosome biogenesis and assembly (RCA, IEA); transcription (IEA)"	"90S preribosome (IDA); mitochondrion (IDA, IEA); nucleolus (IDA); nucleus (IEA); rDNA heterochromatin (IDA); ribonucleoprotein complex (IEA); small-subunit processome (IDA); t-UTP complex (IDA, RCA)"	yes	het
YJL110C::chr10_2	GZF3	-0.908888	-0.0650031	GATA zinc finger protein and Dal80p homolog that negatively regulates nitrogen catabolic gene expression by competing with Gat1p for GATA site binding; function requires a repressive carbon source; dimerizes with Dal80p and binds to Tor1p	"DNA binding (IEA); metal ion binding (IEA); sequence-specific DNA binding (IEA); specific RNA polymerase II transcription factor activity (ISS, IMP); transcription factor activity (IEA, IDA); zinc ion binding (IEA)"	"negative regulation of transcription (IDA); negative regulation of transcription from RNA polymerase II promoter (IMP, ISS); nitrogen compound metabolic process (TAS); regulation of nitrogen utilization (IGI, IMP); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"nucleus (IEA, IC)"	no	hom
YJL111W::chr10_2	CCT7	-5.00307	-1.10543	"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"	"ATP binding (IEA); nucleotide binding (IEA); unfolded protein binding (IEA, TAS)"	"cellular protein metabolic process (IEA); cytoskeleton organization and biogenesis (TAS); protein folding (IEA, TAS)"	"chaperonin-containing T-complex (IPI, TAS); cytoplasm (IDA, IEA, TAS); cytoskeleton (TAS)"	yes	het
YJL112W::chr10_2	MDV1	0.667195	0.0925878	"Peripheral protein of the cytosolic face of the mitochondrial outer membrane, required for mitochondrial fission; interacts with Fis1p and with the dynamin-related GTPase Dnm1p; contains WD repeats"	molecular_function (ND)	"mitochondrial fission (IMP, IGI, IPI); mitochondrial genome maintenance (IGI, IMP)"	"membrane (IEA); mitochondrial outer membrane (IDA, IEA); mitochondrion (IDA, IEA)"	no	hom
YJL115W::chr10_2	ASF1	-2.02004	-0.700777	"Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed; plays a role in regulating Ty1 transposition"	histone binding (IMP)	"DNA replication-dependent nucleosome assembly (IDA); DNA replication-independent nucleosome assembly (IDA); chromatin assembly or disassembly (IEA); chromatin modification (IEA); chromatin silencing at silent mating-type cassette (IGI); chromatin silencing at telomere (IGI); histone acetylation (IMP); histone exchange (IMP); negative regulation of transposition, RNA-mediated (IMP); nucleosome disassembly (IMP); regulation of histone acetylation (IMP, IPI); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	chromatin assembly complex (IDA); nucleus (IEA)	no	hom
YJL116C::chr10_2	NCA3	0.510629	0.0270564	Protein that functions with Nca2p to regulate mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p ) of the Fo-F1 ATP synthase; member of the SUN family	molecular_function (ND)	mitochondrion organization and biogenesis (IGI)	cellular_component (ND); mitochondrion (IEA)	no	hom
YJL117W::chr10_2	PHO86	-3.26619	-0.969169	"Endoplasmic reticulum (ER) resident protein required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles"	molecular_function (ND)	"phosphate transport (IMP, IEA); protein folding (IMP); secretion by cell (IMP); transport (IEA)"	endoplasmic reticulum (IDA); integral to membrane (IEA); membrane (IEA)	no	hom
YJL118W::chr10_2	YJL118W	1.48801	0.192491	"Putative protein of unknown function; may interact with ribosomes, based on co-purification experiments; YJL18W is a non-essential gene; deletion enhances the toxicity of heterologously expressed human alpha-synuclein"	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); ribosome (IDA)	no	hom
YJL119C::chr10_2	YJL119C	-0.21571	-0.0108654	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"				no	hom
YJL120W::chr10_2	YJL120W	1.73107	0.380039	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YJL121C/RPE1; deletion confers sensitivity to GSAO"				no	hom
YJL121C::chr10_2	RPE1	-0.420353	-0.0143974	"D-ribulose-5-phosphate 3-epimerase, catalyzes a reaction in the non-oxidative part of the pentose-phosphate pathway; mutants are sensitive to oxidative stress"	"catalytic activity (IEA); isomerase activity (IEA); ribulose-phosphate 3-epimerase activity (IDA, IMP, IEA, ISS)"	carbohydrate metabolic process (IEA); metabolic process (IEA); pentose-phosphate shunt (IMP)	cytoplasm (IEA); cytosol (TAS)	no	hom
YJL122W::chr10_2	ALB1	0.18649	0.0141617	Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit; interacts directly with Arx1p; responsible for Tif6p recycling defects in absence of Rei1p	molecular_function (ND)	"ribosomal large subunit biogenesis and assembly (IGI, IPI); ribosome biogenesis and assembly (RCA, IEA); transport (IEA)"	"cytoplasm (IDA, IEA); nucleus (IEA, IDA); ribosome (IDA)"	no	hom
YJL123C::chr10_2	MTC1	0.565972	0.119747	Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to COPI-coated vesicles (early Golgi); YJL123C is synthetically lethal with cdc13-1	molecular_function (ND)	biological_process (ND)	COPI-coated vesicle (IDA); Golgi apparatus (IDA); cytoplasm (IDA); ribosome (IDA)	no	hom
YJL124C::chr10_2	LSM1	-0.672303	-0.0875305	"Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) involved in degradation of cytoplasmic mRNAs"	"RNA binding (TAS); RNA cap binding (IGI, TAS, IMP, IPI)"	"deadenylation-dependent decapping of nuclear-transcribed mRNA (IMP, IPI, IGI); mRNA catabolic process (TAS); mRNA metabolic process (IEA); mRNA processing (IEA); nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (IGI, IMP)"	"cytoplasm (IDA, IEA); cytoplasmic mRNA processing body (IDA, IMP); mRNA cap binding complex (IPI, TAS); nucleus (IEA); ribonucleoprotein complex (IEA)"	no	hom
YJL125C::chr00_15	GCD14	2.35179	0.132614	"Subunit of tRNA (1-methyladenosine) methyltransferase, with Gcd10p, required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met; first identified as a negative regulator of GCN4 expression"	"methyltransferase activity (IEA); tRNA (adenine-N1-)-methyltransferase activity (IDA, IMP, IEA, IPI); transferase activity (IEA)"	ribosome biogenesis and assembly (RCA); tRNA methylation (IDA); tRNA processing (IEA)	"nucleus (IEA, IDA); tRNA (m1A) methyltransferase complex (IDA)"	yes	het
YJL126W::chr10_2	NIT2	-0.109767	-0.0118853	"Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member"	"hydrolase activity (IEA); hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (IEA, ISS)"	biological_process (ND); nitrogen compound metabolic process (IEA)	cellular_component (ND)	no	hom
YJL127C-B::chr00_20	YJL127C-B	0.641329	0.0966656	"Putative protein of unknown function; identified based on homology to the filamentous fungus, <i>Ashbya gossypii</i>"	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YJL127C::chr10_2	SPT10	0.84793	0.712556	"Putative histone acetylase, sequence-specific activator of histone genes, binds specifically and highly cooperatively to pairs of UAS elements in core histone promoters, functions at or near the TATA box"	N-acetyltransferase activity (IEA); histone acetyltransferase activity (IDA); sequence-specific DNA binding (IDA)	"DNA repair (IMP); chromatin remodeling (TAS); metabolic process (IEA); negative regulation of transcription from RNA polymerase II promoter, global (IMP)"	nucleus (TAS)	no	hom
YJL128C::chr00_15	PBS2	0.120579	-0.014063	"MAP kinase kinase that plays a pivotal role in the osmosensing signal-transduction pathway, activated under severe osmotic stress; plays a role in regulating Ty1 transposition"	"ATP binding (IEA); MAP kinase kinase activity (ISS, IMP); MAP-kinase scaffold activity (IPI); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA); protein serine/threonine kinase activity (IEA); protein tyrosine kinase activity (IEA); transferase activity (IEA)"	"actin filament organization (IMP); activation of MAPK activity during osmolarity sensing (IMP); hyperosmotic response (IMP); negative regulation of transposition, RNA-mediated (IMP); nuclear translocation of MAPK during osmolarity sensing (IMP); osmosensory signaling pathway (IMP); protein amino acid phosphorylation (IMP, IEA); response to antibiotic (IEA)"	"cellular bud neck (IDA); cellular bud tip (IDA); cytoplasm (IDA, IEA)"	no	hom
YJL129C::chr00_14	TRK1	-0.333044	-0.0533532	"Component of the Trk1p-Trk2p potassium transport system; 180 kDa high affinity potassium transporter; phosphorylated in vivo and interacts physically with the phosphatase Ppz1p, suggesting Trk1p acitivy is regulated by phosphorylation"	"cation transmembrane transporter activity (IEA); potassium ion binding (IEA); potassium ion transmembrane transporter activity (IDA, IEA)"	cation transport (IEA); cellular potassium ion homeostasis (IDA); ion transport (IEA); potassium ion transport (IEA); telomere maintenance (IMP); transport (IEA)	integral to membrane (IEA); membrane (IEA); membrane raft (IDA)	no	hom
YJL130C::chr10_1	URA2	-0.917559	-0.0655607	"Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP"	"ATP binding (IEA); amino acid binding (IEA); aspartate carbamoyltransferase activity (IDA, IEA, IMP); carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity (IDA, IEA); carbamoyl-phosphate synthase activity (IEA); carboxyl- or carbamoyltransferase activity (IEA); catalytic activity (IEA); ligase activity (IEA); transferase activity (IEA)"	"'de novo' pyrimidine base biosynthetic process (IMP, IEA); amino acid metabolic process (IEA); biosynthetic process (IEA); glutamine metabolic process (IEA, IDA); metabolic process (IEA); nitrogen compound metabolic process (IEA); pyrimidine base biosynthetic process (IDA); pyrimidine nucleotide biosynthetic process (IEA)"	cytoplasm (IDA); integral to membrane (IDA); mitochondrion (IDA)	no	hom
YJL131C::chr10_1	AIM23	0.0274213	0.0140863	"Putative protein of unknown function; the authentic non-tagged protein is detected in highly purified mitochondria; null mutant is viable, displays increased frequency of mitochondrial genome loss (petite formation)"	molecular_function (ND)	biological_process (ND)	mitochondrion (IDA)	no	hom
YJL132W::chr00_14	YJL132W	-0.0432615	-0.00285686	Putative protein of unknown function; localizes to the membrane fraction; possible Zap1p-regulated target gene induced by zinc deficiency; YJL132W is a non-essential gene	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); membrane fraction (IDA)	no	hom
YJL132W::chr10_1	YJL132W	1.7061	0.166004	Putative protein of unknown function; localizes to the membrane fraction; possible Zap1p-regulated target gene induced by zinc deficiency; YJL132W is a non-essential gene	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); membrane fraction (IDA)	no	hom
YJL133W::chr10_1	MRS3	1.70821	0.167334	"Mitochondrial iron transporter of the mitochondrial carrier family (MCF), very similar to and functionally redundant with Mrs4p; functions under low-iron conditions; may transport other cations in addition to iron"	binding (IEA); iron ion transmembrane transporter activity (IMP)	RNA splicing (IGI); mRNA processing (IEA); mitochondrial iron ion transport (IDA); mitochondrial transport (ISS); transport (IEA)	"integral to membrane (IEA); membrane (IEA); mitochondrial inner membrane (IEA); mitochondrion (IDA, IEA)"	no	hom
YJL134W::chr10_1	LCB3	-0.57525	-0.0461079	"Long-chain base-1-phosphate phosphatase with specificity for dihydrosphingosine-1-phosphate, regulates ceramide and long-chain base phosphates levels, involved in incorporation of exogenous long chain bases in sphingolipids"	"catalytic activity (IEA); sphingosine-1-phosphate phosphatase activity (IDA, TAS)"	calcium-mediated signaling (IMP); sphingolipid biosynthetic process (TAS)	"endoplasmic reticulum (IEA, IDA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YJL135W::chr10_1	YJL135W	-0.572351	-0.0458781	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified genes YJL134W/LCB3"				no	hom
YJL136C::chr00_14	RPS21B	-0.658941	-0.115928	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Ap and has similarity to rat S21 ribosomal protein	"structural constituent of ribosome (TAS, IEA)"	"translation (IEA, TAS)"	cytoplasm (IEA); cytosolic small ribosomal subunit (TAS); intracellular (IEA); ribonucleoprotein complex (IEA); ribosome (IEA)	no	hom
YJL136W-A::chr00_20	YJL136W-A	-0.0926261	0.00663291	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; identified by SAGE"	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YJL137C::chr00_14	GLG2	-0.520717	-0.0348859	"Self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin"	"glycogenin glucosyltransferase activity (IGI, ISS, IEA); transferase activity (IEA); transferase activity, transferring hexosyl groups (IEA)"	"carbohydrate biosynthetic process (IEA); glycogen biosynthetic process (IEA, IGI)"	"cytoplasm (IDA, IEA)"	no	hom
YJL138C::chr10_1	TIF2	0.243802	0.027773	"Translation initiation factor eIF4A, identical to Tif1p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G"	"ATP binding (IEA); ATP-dependent helicase activity (IEA); RNA binding (IEA); RNA helicase activity (IDA); helicase activity (IEA); hydrolase activity (IEA); nucleic acid binding (IEA); nucleotide binding (IEA); translation initiation factor activity (IDA, IEA, TAS, ISS)"	regulation of translational initiation (ISS); translation (IEA); translational initiation (TAS)	"cytoplasm (IDA, IEA, ISS); eukaryotic translation initiation factor 4F complex (IGI, ISS); ribosome (TAS)"	no	hom
YJL139C::chr00_14	YUR1	-0.971429	-0.169358	"Mannosyltransferase of the KTR1 family, involved in protein N-glycosylation; located in the Golgi apparatus"	"glycolipid 2-alpha-mannosyltransferase activity (IEA); mannosyltransferase activity (IDA); transferase activity (IEA); transferase activity, transferring glycosyl groups (IEA)"	cell wall mannoprotein biosynthetic process (IMP); protein amino acid N-linked glycosylation (IMP); protein amino acid glycosylation (IEA)	"Golgi apparatus (IEA, IDA); Golgi membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YJL140W::chr00_14	RPB4			RNA polymerase II subunit B32; forms two subunit dissociable complex with Rpb7p; involved recruitment of 3'-end processing factors to transcribing RNA polymerase II complex and in export of mRNA to cytoplasm under stress conditions	"DNA-directed RNA polymerase activity (TAS, IEA); catalytic activity (IEA); nucleotide binding (IEA)"	"DNA repair (IEA); cellular metabolic process (IEA); mRNA export from nucleus (IMP); mRNA processing (IEA); nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (IMP); recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (IMP); response to DNA damage stimulus (IEA); telomere maintenance (IMP); transcription (IEA); transcription from RNA polymerase II promoter (TAS)"	"DNA-directed RNA polymerase II, core complex (TAS); cytoplasm (IDA, IEA); cytoplasmic mRNA processing body (IDA); nucleus (IEA, IDA)"	no	hom
YJL141C::chr00_14	YAK1	-1.68906	-0.286912	Serine-threonine protein kinase that is part of a glucose-sensing system involved in growth control in response to glucose availability; translocates from the cytoplasm to the nucleus and phosphorylates Pop2p in response to a glucose signal	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, IDA); protein serine/threonine kinase activity (IEA); protein tyrosine kinase activity (IEA); transferase activity (IEA)"	"protein amino acid phosphorylation (IEA, IDA)"	"cytoplasm (IDA, IEA); nucleus (IEA, IDA)"	no	hom
YJL142C::chr10_1	IRC9	0.275084	0.0345269	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene YJL141C; null mutant displays increased levels of spontaneous Rad52p foci"				no	hom
YJL143W::chr10_1	TIM17	28.3728	1.52185	Essential constituent of the mitochondrial inner membrane presequence translocase; interacts with Pam18p to recruit the presequence translocase-associated motor (PAM complex) and also required for protein sorting during import	"P-P-bond-hydrolysis-driven protein transmembrane transporter activity (IEA); protein transporter activity (TAS, IEA)"	"intracellular protein transport (IEA); intracellular protein transport across a membrane (IEA); protein import into mitochondrial matrix (IMP, IDA); protein transport (IEA); transport (IEA)"	"integral to membrane (IEA); membrane (IEA); mitochondrial inner membrane (IEA); mitochondrial inner membrane presequence translocase complex (IEA, IDA, TAS); mitochondrion (IDA, IEA)"	yes	het
YJL144W::chr10_1	YJL144W	-1.69276	-0.116197	"Cytoplasmic hydrophilin of unknown function, possibly involved in the dessication response; expression induced by osmotic stress, starvation and during stationary phase; GFP-fusion protein is induced by the DNA-damaging agent MMS"	molecular_function (ND)	response to osmotic stress (IEP)	cytoplasm (IDA)	no	hom
YJL145W::chr10_1	SFH5	0.131954	0.012807	"Putative phosphatidylinositol transfer protein (PITP), exhibits phosphatidylinositol- but not phosphatidylcholine-transfer activity, localized to cytosol and microsomes, similar to Sec14p; may be PITP regulator rather than actual PITP"	phosphatidylinositol transporter activity (IDA)	lipid transport (IEA); phospholipid transport (IDA); transport (IEA)	"cytoplasm (IEA); cytosol (IDA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); membrane (IEA); microsome (IEA, IDA)"	no	hom
YJL146W::chr10_1	IDS2	-0.641118	-0.0695461	"Protein involved in modulation of Ime2p activity during meiosis, appears to act indirectly to promote Ime2p-mediated late meiotic functions; found in growing cells and degraded during sporulation"	molecular_function (ND)	meiosis (IMP)	cytoplasm (IDA); nucleus (IDA)	no	hom
YJL147C::chr10_1	YJL147C	-1.16256	-0.106616	Mitochondrial protein of unknown function; homozygous diploid deletion strain has a sporulation defect characterized by elevated dityrosine in the soluble fraction; expression induced by calcium shortage; YJL147W is a non-essential gene	molecular_function (ND)	biological_process (ND)	mitochondrion (IDA)	no	hom
YJL148W::chr10_1	RPA34	-1.13673	-0.0988235	RNA polymerase I subunit A34.5	"DNA-directed RNA polymerase activity (TAS, IEA)"	ribosome biogenesis and assembly (RCA); transcription (IEA); transcription from RNA polymerase I promoter (TAS)	"DNA-directed RNA polymerase I complex (TAS); nucleolus (IDA); nucleus (IEA, IDA)"	no	hom
YJL149W::chr10_1	DAS1	0.430547	0.0509556	Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C; null mutant suppresses dst1delta sensitivity for 6-azauracil	molecular_function (ND)	biological_process (ND); ubiquitin cycle (IEA)	SCF ubiquitin ligase complex (IPI)	no	hom
YJL150W::chr10_1	YJL150W	-0.823079	-0.0907864	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"				no	hom
YJL151C::chr00_14	SNA3	-0.0665519	-0.00404995	"Integral membrane protein localized to vacuolar intralumenal vesicles, computational analysis of large-scale protein-protein interaction data suggests a possible role in either cell wall synthesis or protein-vacuolar targeting"	inositol-3-phosphate synthase activity (IEA); molecular_function (ND)	biological_process (ND)	"cytoplasmic vesicle (IEA); cytoplasmic vesicle membrane (IEA); endosome (IEA); fungal-type vacuole lumen (IDA); integral to membrane (IEA); late endosome membrane (IEA); membrane (IEA, IDA); vacuolar lumen (IEA); vacuole (IEA)"	no	hom
YJL152W::chr10_1	YJL152W	0.785137	0.085796	"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"				no	hom
YJL153C::chr10_1	INO1	-0.0522273	-0.00204284	"Inositol 1-phosphate synthase, involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element"	"binding (IEA); catalytic activity (IEA); inositol-3-phosphate synthase activity (IEA, IMP); isomerase activity (IEA)"	"inositol biosynthetic process (IEA, IMP); metabolic process (IEA); phospholipid biosynthetic process (IEA)"	"cytoplasm (IDA, IEA)"	no	hom
YJL154C::chr10_1	VPS35	-1.68884	-0.279701	"Endosomal subunit of membrane-associated retromer complex required for retrograde transport; receptor that recognizes retrieval signals on cargo proteins, forms subcomplex with Vps26p and Vps29p that selects cargo proteins for retrieval"	"protein binding (IGI, IMP); protein transporter activity (IMP, IPI)"	"protein retention in Golgi apparatus (IMP); protein transport (IEA); retrograde transport, endosome to Golgi (IPI); transport (IEA)"	"endosome (IPI); membrane (IEA); retromer complex (IPI, IMP); retromer complex, inner shell (IPI)"	no	hom
YJL155C::chr10_1	FBP26	-0.985362	-0.113512	"Fructose-2,6-bisphosphatase, required for glucose metabolism"	"6-phosphofructo-2-kinase activity (ISS, NAS); ATP binding (IEA); catalytic activity (IEA); fructose-2,6-bisphosphate 2-phosphatase activity (IMP, IEA); hydrolase activity (IEA); nucleotide binding (IEA)"	"fructose 2,6-bisphosphate metabolic process (IEA); glucose metabolic process (IMP); metabolic process (IEA)"	cytosol (TAS)	no	hom
YJL156C::chr10_1	SSY5	2.34498	0.21514	"Probable serine protease of the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p), which senses external amino acid concentration and transmits intracellular signals that regulate expression of amino acid permease genes"	"catalytic activity (IEA); serine-type endopeptidase activity (IMP, ISS)"	"protein processing (IMP); response to amino acid stimulus (IMP, IGI)"	extrinsic to plasma membrane (IDA)	yes	het
YJL157C::chr10_1	FAR1	0.391692	0.0328566	"Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone; also forms a complex with Cdc24p, Ste4p, and Ste18p that may specify the direction of polarized growth during mating; potential Cdc28p substrate"	cyclin-dependent protein kinase inhibitor activity (IDA); metal ion binding (IEA); protein kinase inhibitor activity (IEA); zinc ion binding (IEA)	"cell cycle (IEA); cell cycle arrest (IMP); cell division (IEA); pheromone-dependent signal transduction during conjugation with cellular fusion (IGI, TAS, IPI)"	cytoplasm (IDA); mating projection tip (IDA); membrane (IDA); nucleus (IDA)	no	hom
YJL158C::chr10_1	CIS3	0.510006	0.0373747	Mannose-containing glycoprotein constituent of the cell wall; member of the PIR (proteins with internal repeats) family	structural constituent of cell wall (ISS)	"cell wall organization and biogenesis (IMP, IEA)"	"cell wall (IEA); cellular bud tip (IDA); endoplasmic reticulum (IDA); extracellular region (IEA, IDA); fungal-type cell wall (IDA); plasma membrane (IDA)"	no	hom
YJL159W::chr10_1	HSP150	-0.416995	-0.0289269	"O-mannosylated heat shock protein that is secreted and covalently attached to the cell wall via beta-1,3-glucan and disulfide bridges; required for cell wall stability; induced by heat shock, oxidative stress, and nitrogen limitation"	structural constituent of cell wall (IPI)	"cell wall organization and biogenesis (IMP, IEA); response to stress (IEA)"	cell wall (IEA); extracellular region (IEA); fungal-type cell wall (IDA)	no	hom
YJL160C::chr00_14	YJL160C	0.311254	0.0605664	"Putative protein of unknown function; member of the PIR (proteins with internal repeats) family of cell wall proteins; non-essential gene that is required for sporulation; mRNA is weakly cell cycle regulated, peaking in mitosis"	molecular_function (ND)	biological_process (ND)	cellular_component (ND); extracellular region (IEA)	no	hom
