orf::batch:tagtype	Gene	T0	30C_T1	30C_T2	30C_T3	30C_T4	30C_T5	37C_T1	37C_T2	37C_T3	37C_T4	37C_T5	30C_RAPA_T1	30C_RAPA_T2	30C_RAPA_T3	Description	feature_qualifier	GO_process	GO_function	GO_component	essential_gene	zygosity
YIR023W::chr00_17b:uptag	DAL81	1654.4	1995.8	1578.4	1297.2	1451.6	1555.2	1482.6	1509.6	1244.4	1259.8	872.4	1280.4	1308.8	35.2	Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism	Verified	regulation of transcription from RNA polymerase II promoter*	specific RNA polymerase II transcription factor activity	nucleus	no	hom
YIR024C::chr00_3:downtag	YIR024C	1508.2	2324	1953.4	1587.4	1010.6	689.4	2039.6	1586.8	1220	578.8	268	1536.4	1778	989		Verified	biological process unknown	molecular function unknown	mitochondrion	no	hom
YIR024C::chr00_3:uptag	YIR024C	406.6	530	442.6	319.6	350.2	193.2	410.2	379.8	166.6	169	139.6	410.4	476.4	40.6		Verified	biological process unknown	molecular function unknown	mitochondrion	no	hom
YIR025W::chr00_3:downtag	MND2	1609	2657.4	2465.2	2103.2	1670	2002	2202.2	2385	2302.2	1736	1346.2	1743.6	1404.8	539.6	Subunit of the anaphase-promoting complex (APC); needed for meiotic nuclear division	Verified	mitotic sister chromatid segregation*	molecular function unknown	nucleus*	no	hom
YIR025W::chr00_3:uptag	MND2	441.8	636.4	553.4	457.8	681.6	396.6	386.2	510	437.2	495.2	322	412.6	431	36	Subunit of the anaphase-promoting complex (APC); needed for meiotic nuclear division	Verified	mitotic sister chromatid segregation*	molecular function unknown	nucleus*	no	hom
YIR026C::chr00_3:downtag	YVH1	1485	674.8	108.4	43	37.6	55	623.6	195.4	95.6	46.6	50.6	1554.6	1606.2	36.2	Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation; transcription induced by low temperature and nitrogen starvation; member of the dual-specificity family of protein phosphatases	Verified	ribosome biogenesis and assembly*	protein tyrosine phosphatase activity*	cytoplasm	no	hom
YIR026C::chr00_3:uptag	YVH1	708.4	193	58.4	40	37.6	52	140.2	109.2	55.6	39.4	44.8	202	318.2	36.6	Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation; transcription induced by low temperature and nitrogen starvation; member of the dual-specificity family of protein phosphatases	Verified	ribosome biogenesis and assembly*	protein tyrosine phosphatase activity*	cytoplasm	no	hom
YIR027C::chr00_3:downtag	DAL1	1406.8	2312.2	1954.8	1720.6	1240.6	1329.2	2087.6	2249.6	2074.2	1881.6	1369.4	2035	1934.2	379	Allantoinase, converts allantoin to allantoate in the first step of allantoin degradation; expression sensitive to nitrogen catabolite repression	Verified	allantoin catabolic process	allantoinase activity	intracellular	no	hom
YIR027C::chr00_3:uptag	DAL1	78.2	99.4	104	91.6	102.6	76	112.8	107.8	92	109.6	80.8	116	71.8	41.6	Allantoinase, converts allantoin to allantoate in the first step of allantoin degradation; expression sensitive to nitrogen catabolite repression	Verified	allantoin catabolic process	allantoinase activity	intracellular	no	hom
YIR028W::chr00_3:downtag	DAL4	192	308	186.2	186.4	224.4	209	299.2	191.4	68.2	279.2	109.4	330	253.8	38.2	Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation	Verified	allantoin transport	allantoin permease activity	membrane	no	hom
YIR028W::chr00_3:uptag	DAL4	792.8	1084.6	973.6	1046.4	859	881.8	1257.4	1273.4	942.4	923.8	774.4	830.4	1018	179.6	Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation	Verified	allantoin transport	allantoin permease activity	membrane	no	hom
YIR029W::chr00_3:downtag	DAL2	1383.6	1727.8	1607	1333.2	1004.2	1413	1560.2	1561.25	1329.4	1068.2	889.2	1384.8	1224.2	348.6	Allantoicase, converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation	Verified	allantoin catabolic process	allantoicase activity	cellular component unknown	no	hom
YIR029W::chr00_3:uptag	DAL2	1379	2008.4	1641.4	1537.4	1807	1749.2	1646.4	1556.4	1505.6	1599.2	1220.8	1503.6	1596	173.2	Allantoicase, converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation	Verified	allantoin catabolic process	allantoicase activity	cellular component unknown	no	hom
YIR030C::chr00_17b:downtag	DCG1	1813.6	2912.8	2395.8	2416.4	1811	2298.6	2453.2	2416.6	2377.2	1744.4	1421.4	2273	1768.4	600.4	Protein of unknown function, expression is sensitive to nitrogen catabolite repression and regulated by Dal80p; contains transmembrane domain	Verified	nitrogen compound metabolic process	molecular function unknown	cellular component unknown	no	hom
YIR030C::chr00_17b:uptag	DCG1	86.6	125.4	120.2	134.2	126.4	126.6	135.8	140.4	111.4	72.6	78.4	118.2	114.8	50	Protein of unknown function, expression is sensitive to nitrogen catabolite repression and regulated by Dal80p; contains transmembrane domain	Verified	nitrogen compound metabolic process	molecular function unknown	cellular component unknown	no	hom
YIR031C::chr00_3:downtag	DAL7	1126	2373.2	1902.4	1459.8	749.8	1455.6	1482.8	1348.4	1568	1180	1210.2	1405	1245	541.2	Malate synthase, role in allantoin degradation unknown; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation	Verified	allantoin catabolic process	malate synthase activity	cellular component unknown	no	hom
YIR031C::chr00_3:uptag	DAL7	192.8	309.8	261.4	217.4	188.8	187.2	248.4	222.2	169.2	204.4	137.8	219.2	223	36	Malate synthase, role in allantoin degradation unknown; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation	Verified	allantoin catabolic process	malate synthase activity	cellular component unknown	no	hom
YIR032C::chr00_17b:downtag	DAL3	174	318.2	353.2	207.8	175	245.2	252.4	367.4	274.2	238.2	182.4	225	203.2	92	Ureidoglycolate hydrolase, converts ureidoglycolate to glyoxylate and urea in the third step of allantoin degradation; expression sensitive to nitrogen catabolite repression	Verified	allantoin catabolic process	ureidoglycolate hydrolase activity	membrane	no	hom
YIR032C::chr00_17b:uptag	DAL3	352.8	588.2	515.4	299	648.4	501.4	491.6	480.6	385.2	630.2	441.4	233	480	35.8	Ureidoglycolate hydrolase, converts ureidoglycolate to glyoxylate and urea in the third step of allantoin degradation; expression sensitive to nitrogen catabolite repression	Verified	allantoin catabolic process	ureidoglycolate hydrolase activity	membrane	no	hom
YIR033W::chr00_3:downtag	MGA2	720	1098	938.8	526.2	591	749	949.8	838	694.6	202	264	609	1105.75	33.8	ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting	Verified	positive regulation of transcription from RNA polymerase II promoter*	transcriptional activator activity	endoplasmic reticulum membrane	no	hom
YIR033W::chr00_3:uptag	MGA2	300.2	368	275.6	213.4	337.8	214.8	317	200.4	167.6	182.4	100	222.8	444.4	98.2	ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting	Verified	positive regulation of transcription from RNA polymerase II promoter*	transcriptional activator activity	endoplasmic reticulum membrane	no	hom
YIR034C::chr00_3:downtag	LYS1	927.2	1610.4	1397	1188.2	1091	1289.2	1335.4	1351	1250	853.8	648	1059.6	900.2	207.6	Saccharopine dehydrogenase (NAD+, L-lysine-forming), catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway	Verified	lysine biosynthetic process via aminoadipic acid	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity	cytoplasm	no	hom
YIR034C::chr00_3:uptag	LYS1	1164.4	1572.8	1358.4	1359.4	1569.2	1317.4	1084.6	1043.25	1029	1220	903.8	1092.6	890.2	47.6	Saccharopine dehydrogenase (NAD+, L-lysine-forming), catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway	Verified	lysine biosynthetic process via aminoadipic acid	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity	cytoplasm	no	hom
YIR035C::chr00_3:downtag	YIR035C	2164.8	3278.8	2974	2035.2	2130	2499	2903	2713.2	2971	2136.2	1425	2967.8	2456.2	37		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YIR035C::chr00_3:uptag	YIR035C	795.8	1113.6	1018.2	903	1109	880.4	837.8	926.6	850	915.2	616.2	862	881.4	97.8		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YIR036C::chr00_3:downtag	IRC24	2403.6	3621.2	3464.8	2872	2519.6	3075.4	3423.4	3458.2	3089.2	2842	2541.2	2800.2	3370.5	456.4	Putative protein of unknown function; sequence similarity with short-chain dehydrogenase/reductase family members; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YIR036C is a non-essential gene; null mutant displays increased l	Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YIR036C::chr00_3:uptag	IRC24	301	466.8	450.4	500.4	552.6	404.2	392.6	492	314.8	544.4	413	483.6	307.8	35.4	Putative protein of unknown function; sequence similarity with short-chain dehydrogenase/reductase family members; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YIR036C is a non-essential gene; null mutant displays increased l	Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YIR037W::chr00_3:downtag	HYR1	399.4	695.2	751.4	599.6	473.2	594	647.4	724.6	575.2	367.6	457	532.2	556.4	34	Thiol peroxidase that functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor	Verified	response to oxidative stress	thioredoxin peroxidase activity*	intracellular	no	hom
YIR037W::chr00_3:uptag	HYR1	457	647.2	526	471.4	536.75	327.8	347.4	485.6	415.2	544	364.2	413	625.6	40.2	Thiol peroxidase that functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor	Verified	response to oxidative stress	thioredoxin peroxidase activity*	intracellular	no	hom
YIR038C::chr00_3:downtag	GTT1	1230.6	1925.8	1769.4	1378.6	1378.2	1333.6	1971	1959.6	1825	1485.2	1027	1751.6	1161.8	302	ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p	Verified	glutathione metabolic process	glutathione transferase activity*	mitochondrion*	no	hom
YIR038C::chr00_3:uptag	GTT1	1582	2002.2	1634.2	1551.6	1929.4	1621	1750	1718.4	1506	1683.8	1177.6	1586.4	1717.8	183.2	ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p	Verified	glutathione metabolic process	glutathione transferase activity*	mitochondrion*	no	hom
YIR039C::chr00_3:downtag	YPS6	2192.8	2787.6	2426.6	2575.8	2302	2761.4	2301.6	2622.8	2786.2	2332.6	1838	2237.8	2125.2	528.6	Putative GPI-anchored aspartic protease	Verified	biological process unknown	aspartic-type endopeptidase activity	cell wall (sensu Fungi)	no	hom
YIR039C::chr00_3:uptag	YPS6	660.8	791.6	659	574.2	895	709.4	656.8	652.2	631	832.2	548.6	421	822.8	34.4	Putative GPI-anchored aspartic protease	Verified	biological process unknown	aspartic-type endopeptidase activity	cell wall (sensu Fungi)	no	hom
YIR042C::chr00_3:downtag	YIR042C	1973.8	2771.2	2523.2	2034.4	1658.4	2491.4	2348.4	2917.4	2641.4	2235.8	1547.6	2385	2628.4	635.4		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YIR042C::chr00_3:uptag	YIR042C	1429.8	1853.8	1590	1171	1628.25	1573.8	1275.75	1547.2	1473.8	1249.8	975.4	1263.4	1421	106.4		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YIR043C::chr00_17b:downtag	YIR043C	1584.4	2449.2	2534	1815.8	1828.8	1895.6	2170.6	2547.2	2107.8	1951.6	1351.6	1933.2	1484.75	270.2			biological process unknown	molecular function unknown	cellular component unknown	no	hom
YIR043C::chr00_17b:uptag	YIR043C	1515.4	2039.2	1631.4	1693.8	2030.6	1799.4	1737	1826.4	1478.6	1778.6	1283.8	1705	1810.6	36.2			biological process unknown	molecular function unknown	cellular component unknown	no	hom
YIR044C::chr00_17b:downtag	YIR044C	1311.2	1926.8	1908.2	1641.2	1218.2	1403	1897.2	1817	1776.6	1661.4	1095.8	1673.2	1581.2	246			biological process unknown	molecular function unknown	cellular component unknown	no	hom
YIR044C::chr00_17b:uptag	YIR044C	654.2	853.4	793.6	648.2	969	723	815.8	827.8	706	1024	616	872.6	755.2	47.2			biological process unknown	molecular function unknown	cellular component unknown	no	hom
YJL001W::chr00_13:downtag	PRE3	695.6	1181	887.6	813	508.8	708.2	1153.8	1137.2	959.8	641.6	310.2	901.8	1120.4	581.2	20S proteasome beta-type subunit, responsible for cleavage after acidic residues in peptides	Verified	sporulation (sensu Fungi)*	endopeptidase activity	proteasome core complex, beta-subunit complex (sensu Eukaryota)	yes	het
YJL001W::chr00_13:uptag	PRE3	322.2	434.8	355	352.2	357.6	333.8	428.6	322.4	358	365.6	184.4	351.6	381.2	258.8	20S proteasome beta-type subunit, responsible for cleavage after acidic residues in peptides	Verified	sporulation (sensu Fungi)*	endopeptidase activity	proteasome core complex, beta-subunit complex (sensu Eukaryota)	yes	het
YJL002C::chr00_13:downtag	OST1	2552.6	3881.8	3308.4	2952.4	2255.2	2727	3320.4	3630	3430.6	2837.4	1551.8	2955.6	2895.8	840.8	Alpha subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins	Verified	protein amino acid N-linked glycosylation*	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	oligosaccharyl transferase complex	yes	het
YJL002C::chr00_13:uptag	OST1	3096	4117.8	3219	2946	3278.8	2833.4	3043.6	3071	2761	3147.6	2219.6	2494.2	3004.2	444.2	Alpha subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins	Verified	protein amino acid N-linked glycosylation*	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	oligosaccharyl transferase complex	yes	het
YJL003W::chr00_13:downtag	COX16	652.8	577	316	253.2	85.8	81.8	483.4	335	257.5	192.4	130.8	810	1089.4	50.8	Mitochondrial inner membrane protein, required for assembly of cytochrome c oxidase	Verified	aerobic respiration*	molecular function unknown	mitochondrion*	no	hom
YJL003W::chr00_13:uptag	COX16	425.8	284.6	168	194.2	148.75	86.2	206	209.8	142	161.8	132.8	418.4	500.6	86.6	Mitochondrial inner membrane protein, required for assembly of cytochrome c oxidase	Verified	aerobic respiration*	molecular function unknown	mitochondrion*	no	hom
YJL004C::chr00_13:downtag	SYS1	2366.4	3195.2	2760.4	2018.4	1507.6	1984.8	2588.6	2944.8	2009.6	1303.8	580.6	2508.8	1971	59.8	Integral membrane protein of the Golgi required for targeting of the Arf-like GTPase Arl3p to the Golgi; multicopy suppressor of ypt6 null mutation	Verified	Golgi to endosome transport*	molecular function unknown	integral to Golgi membrane*	no	hom
YJL004C::chr00_13:uptag	SYS1	1376.8	1767.8	1435.75	1292.8	1291	849.2	1508.4	1190.8	952.8	724.8	406.4	1028.2	648.2	37.4	Integral membrane protein of the Golgi required for targeting of the Arf-like GTPase Arl3p to the Golgi; multicopy suppressor of ypt6 null mutation	Verified	Golgi to endosome transport*	molecular function unknown	integral to Golgi membrane*	no	hom
YJL005W::chr00_13:downtag	CYR1	3055.4	4394.2	3895	3315.2	3131.6	3440.2	3833.2	3898.4	3873.8	3399.6	2222.8	3844.4	4077	3083.8	Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; involved in cell cycle control and glucose and nitrogen repression of sporulation	Verified	meiosis*	adenylate cyclase activity	mitochondrion*	yes	het
YJL005W::chr00_13:uptag	CYR1	208.4	305.4	243.6	244.6	284	237.2	270.4	243.6	239.8	379.25	134.8	232	369.2	123.8	Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; involved in cell cycle control and glucose and nitrogen repression of sporulation	Verified	meiosis*	adenylate cyclase activity	mitochondrion*	yes	het
YJL006C::chr00_13:downtag	CTK2	38	42.4	80	43	40.75	53.4	40	40.2	41.4	38	45.4	37	41.8	36	Beta subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing; has similarity to cyclins	Verified	protein amino acid phosphorylation*	cyclin-dependent protein kinase activity	carboxy-terminal domain protein kinase complex	no	hom
YJL006C::chr00_13:uptag	CTK2	42	50.2	55.2	42.2	41.8	57	44	43.6	53.4	39.4	48.8	43.2	44.4	37.2	Beta subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing; has similarity to cyclins	Verified	protein amino acid phosphorylation*	cyclin-dependent protein kinase activity	carboxy-terminal domain protein kinase complex	no	hom
YJL007C::chr00_13:downtag	YJL007C	1691.4	2631.2	2234.4	2168.4	1458.75	1866.4	2326.5	2572	2400	1980.6	1635	1631.4	1399.4	230.8		Dubious				no	hom
YJL007C::chr00_13:uptag	YJL007C	1013	1369.2	1150.75	1235	1416.25	1074.4	1183.2	1232.6	1124.4	1234.6	786.2	991.6	1201	110		Dubious				no	hom
YJL008C::chr00_13:downtag	CCT8	2261	2923.2	2399.6	1224.4	1297.2	1479.2	2622	2814.6	3032.2	2764	1209.2	2507.6	3392.6	3125.2	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Verified	protein folding*	unfolded protein binding	cytoplasm*	yes	het
YJL008C::chr00_13:uptag	CCT8	182.4	209.6	172.2	127.2	124.2	120	208.2	150	193.4	238.75	123.4	187.6	256.6	151.2	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Verified	protein folding*	unfolded protein binding	cytoplasm*	yes	het
YJL008C::chr00_23:downtag	CCT8	39.2	53.4	64.25	47.4	41.8	59.6	46.4	42	48.4	42.4	51	42.8	45.8	36	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Verified	protein folding*	unfolded protein binding	cytoplasm*	yes	hom
YJL008C::chr00_23:uptag	CCT8	35	37.8	47.8	37.8	32.8	51.2	38.2	35	35.6	34.6	40.8	33	34.6	33.2	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Verified	protein folding*	unfolded protein binding	cytoplasm*	yes	hom
YJL009W::chr00_13:downtag	YJL009W	853	1198.4	942.2	540.2	397.2	560	971.6	1104.6	951.6	998.2	553	902.6	1398.6	1390.8		Dubious				yes	het
YJL009W::chr00_13:uptag	YJL009W	41.4	55.4	61.4	47.6	42.4	66.8	54	48.6	46.2	46.6	58.6	45.8	48.2	34.2		Dubious				yes	het
YJL010C::chr00_13:downtag	NOP9	839	1609.6	1227.6	993.8	810	1187.8	1207.4	1357.6	1265.8	973.8	725.4	934.2	959.2	656	Essential nucleolar protein required for 18S rRNA synthesis	Uncharacterized	ribosome biogenesis and assembly*	molecular function unknown	nucleus*	yes	het
YJL010C::chr00_13:uptag	NOP9	248.8	372.6	338.2	297.2	362.25	318.8	317.6	293.4	286	328	154	242.4	275	137	Essential nucleolar protein required for 18S rRNA synthesis	Uncharacterized	ribosome biogenesis and assembly*	molecular function unknown	nucleus*	yes	het
YJL011C::chr00_13:downtag	RPC17	42.4	48.6	58	47.2	45	61.2	45.2	43.8	44.4	48.4	52.6	40.2	45.2	36	RNA polymerase III subunit C17; physically interacts with C31, C11, and TFIIIB70; may be involved in the recruitment of pol III by the preinitiation complex	Verified	transcription initiation from RNA polymerase III promoter	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase III complex	yes	het
YJL011C::chr00_13:uptag	RPC17	730.4	923	797.2	739.8	895.2	510	712.4	899.2	610.8	879.8	301.4	682	639.2	260.6	RNA polymerase III subunit C17; physically interacts with C31, C11, and TFIIIB70; may be involved in the recruitment of pol III by the preinitiation complex	Verified	transcription initiation from RNA polymerase III promoter	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase III complex	yes	het
YJL012C-A::chr00_20:downtag	VTC4_p	991.8	1434.2	1225.2	1011.6	820.2	1458.2	1389.8	1443.2	1155.2	908	569	891	458.2	33.6	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	Verified	vacuole fusion, non-autophagic	molecular function unknown	intrinsic to vacuolar membrane	no	hom
YJL012C-A::chr00_20:uptag	VTC4_p	115.4	174.6	156.8	139	151.5	147	161.6	151.4	146.4	114.8	78.2	107	80.6	35	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	Verified	vacuole fusion, non-autophagic	molecular function unknown	intrinsic to vacuolar membrane	no	hom
YJL012C::chr00_13:downtag	VTC4	2471.4	3546	3018.8	2692.8	2782.8	2619.8	3267.25	3496.2	3495.4	3170.8	2413.8	2998.4	3063.4	1228.2	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	Verified	vacuole fusion, non-autophagic	molecular function unknown	intrinsic to vacuolar membrane	no	hom
YJL012C::chr00_13:uptag	VTC4	97.2	146.6	142	133.2	144.5	152.4	142	146.4	147.8	127.2	106.4	123.4	128.2	38.4	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	Verified	vacuole fusion, non-autophagic	molecular function unknown	intrinsic to vacuolar membrane	no	hom
YJL012C::chr00_22:downtag	VTC4	35.8	41.6	55	39.8	37.25	53.6	41	43	43.8	42.8	52.8	35.6	41.6	35	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	Verified	vacuole fusion, non-autophagic	molecular function unknown	intrinsic to vacuolar membrane	no	hom
YJL012C::chr00_22:uptag	VTC4	39.6	53	55.4	46.2	40.4	56.4	43.6	41.6	46.2	49.6	49.2	36.2	41.8	33.4	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	Verified	vacuole fusion, non-autophagic	molecular function unknown	intrinsic to vacuolar membrane	no	hom
YJL013C::chr00_13:downtag	MAD3	2327	3420.4	2981	2671.2	2662	3002.2	3278	3217.4	2604.8	2183.4	1796.2	2576.4	2423.6	417.8	Component of the spindle-assembly checkpoint complex, which delays the onset of anaphase in cells with defects in mitotic spindle assembly; interacts physically with the spindle checkpoint proteins Bub3p and Mad2p	Verified	mitotic spindle checkpoint	molecular function unknown	nucleus	no	hom
YJL013C::chr00_13:uptag	MAD3	2380	3272.6	2443.6	2123.4	2556	2279.4	2266.6	2330.8	2072.4	2265.8	1783.8	2038.4	2216	40.2	Component of the spindle-assembly checkpoint complex, which delays the onset of anaphase in cells with defects in mitotic spindle assembly; interacts physically with the spindle checkpoint proteins Bub3p and Mad2p	Verified	mitotic spindle checkpoint	molecular function unknown	nucleus	no	hom
YJL014W::chr00_13:downtag	CCT3	2856.6	3585	2583.4	1276.4	1395.25	934.4	3198.4	3548.6	3511.6	2865.6	2096.8	3899	4758.6	4672	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Verified	protein folding*	unfolded protein binding	cytoplasm*	yes	het
YJL014W::chr00_13:uptag	CCT3	1643.4	1916.8	1209.4	828.2	979.8	349	1793.4	1907.8	1370.2	1934.2	1428	2106.8	3213.2	2446.4	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Verified	protein folding*	unfolded protein binding	cytoplasm*	yes	het
YJL015C::chr00_13:downtag	YJL015C	1981.8	2801.4	2628.6	2201.8	1825.2	2301.8	2509.6	3118.2	2906.8	2589.4	1251.6	2341.6	2903.2	833		Dubious				yes	het
YJL015C::chr00_13:uptag	YJL015C	313.8	494	418.8	426.2	442	415	444.6	425.4	429	473.2	199.8	351.2	599.8	171		Dubious				yes	het
YJL016W::chr00_13:downtag	YJL016W	1412.4	2139.4	1981.2	1801.4	1483.8	1824	2058.2	2274.8	2103.4	1602.8	1292.8	1413.4	1701.8	255.6		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YJL016W::chr00_13:uptag	YJL016W	1260.6	1611.2	1341	1394	1527	1319.6	1363.2	1664.4	1299.2	1223	998.4	1390.6	1439.2	236.8		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YJL016W::chr00_22:downtag	YJL016W	38.6	42	63.4	41.6	38	55.4	46.4	46.8	44.2	41.4	48.6	41	41.8	34.4		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YJL016W::chr00_22:uptag	YJL016W	66.2	89.8	111.2	93.2	63.6	108.2	94.2	87.4	101	81.6	91	77.6	78.6	42.4		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YJL017W::chr00_13:downtag	YJL016W_p	1892.8	2560.4	2188.2	1587.2	1403.75	1721.2	2131.2	2494.8	2102.2	1889	1529.2	1848.4	1706.6	36.6		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YJL017W::chr00_13:uptag	YJL016W_p	771.8	1101.6	915.4	903	1042.6	717.2	975.4	970.8	833.6	838.6	726.6	710.4	813.4	36		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YJL018W::chr00_13:downtag	MPS3_p	4095.6	5539.6	5069.2	4731.8	4202.6	4792	5100.4	4666.6	5029.2	4083.6	2825.8	4656.6	4906.4	2175.4	Essential integral membrane protein required for spindle pole body duplication and for nuclear fusion, localizes to the spindle pole body half bridge, interacts with DnaJ-like chaperone Jem1p and with centrin homolog Cdc31p	Verified	mitotic sister chromatid cohesion*	molecular function unknown	integral to membrane*	yes	het
YJL018W::chr00_13:uptag	MPS3_p	1792.4	2565	2188.8	1840.4	2370.8	1928.4	1990.2	2284.2	1872.8	2057.6	990.8	1954.6	2030.2	399	Essential integral membrane protein required for spindle pole body duplication and for nuclear fusion, localizes to the spindle pole body half bridge, interacts with DnaJ-like chaperone Jem1p and with centrin homolog Cdc31p	Verified	mitotic sister chromatid cohesion*	molecular function unknown	integral to membrane*	yes	het
YJL019W::chr00_13:downtag	MPS3	2901.6	4055.4	3773.2	3728.4	3199.6	3479	3668.4	3906.6	3898	3623.6	2323	3493	3501.2	2511	Essential integral membrane protein required for spindle pole body duplication and for nuclear fusion, localizes to the spindle pole body half bridge, interacts with DnaJ-like chaperone Jem1p and with centrin homolog Cdc31p	Verified	mitotic sister chromatid cohesion*	molecular function unknown	integral to membrane*	yes	het
