ORF	Gene	Average Ratio	Gene Description
YOR270C	VPH1	3.4	vacuolar ATPase V0 domain subunit a (100 kDa), vacuolar acidification*, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V0 domain
YPL239W	YAR1	3.4	YAR1 encodes a 200-amino-acid protein with two ANK repeat motifs and an acidic C terminus rich in PEST-like sequences, biological_process unknown, molecular_function unknown,
YDR334W	SWR1	3.4	DEAH-box protein, putative RNA helicase
YBL027W	RPL19B	3.4	Ribosomal protein L19B (YL14) (L23B) (rpl5L), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YGL088W		3.4	biological_process unknown, molecular_function unknown,
YML095C-A		3.4	biological_process unknown, molecular_function unknown,
YMR267W	PPA2	3.4	mitochondrial inorganic pyrophosphatase, respiration, inorganic diphosphatase, mitochondrion
YPL161C	BEM4	3.4	Involved in polarity establishment and bud emergence, establishment of cell polarity (sensu Saccharomyces)*, molecular_function unknown, cellular_component unknown
YJR104C	SOD1	3.4	Cu, Zn superoxide dismutase,superoxide dismutase,
YDR197W	CBS2	3.4	cytochrome b translational activator, protein biosynthesis, molecular_function unknown, mitochondrial inner membrane
YER028C		3.4	biological_process unknown, molecular_function unknown,
YIL065C	FIS1	3.4	mitochondrial fission, mitochondrial fission, molecular_function unknown, mitochondrial outer membrane
YDR276C	PMP3	3.4	hypothetical transmembrane protein, cation transport, molecular_function unknown, plasma membrane
YLR372W	SUR4	3.4	involved in fatty acid biosynthesis, fatty acid biosynthesis*, molecular_function unknown, endoplasmic reticulum membrane
YCL061C		3.4	biological_process unknown, molecular_function unknown,
YPL045W	VPS16	3.4	Vacuolar sorting protein, protein-vacuolar targeting*, molecular_function unknown, vacuolar membrane*
YGL118C		3.4	biological_process unknown, molecular_function unknown,
YNL005C	MRP7	3.4	Mitochondrial ribosomal protein MRP7 (YmL2) (E. coli L27), protein biosynthesis, structural protein of ribosome*, mitochondrial large ribosomal-subunit
YCR077C	PAT1	3.4	Necessary for accurate chromosome transmission during cell
YIL134W	FLX1	3.4	mitochondrial inner membrane carrier protein for FAD, mitochondrial transport, flavin adenine dinucleotide transporter, mitochondrion
YJR145C	RPS4A	3.4	Ribosomal protein S4A (YS6) (rp5) (S7A), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YGR150C		3.3	biological_process unknown, molecular_function unknown,
YBR048W	RPS11B	3.3	Ribosomal protein S11B (S18B) (rp41B) (YS12), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YEL045C		3.3	biological_process unknown, molecular_function unknown,
YJL003W		3.3	biological_process unknown, molecular_function unknown,
YLR052W	IES3	3.3	biological_process unknown, molecular_function unknown,
YDR377W	ATP17	3.3	ATP synthase subunit f, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, F0 sector
YOL004W	SIN3	3.3	DNA binding protein involved in transcriptional regulation, transcription,
YJL168C	SET2	3.3	transcription factor containing a SET domain
YNL008C		3.3	biological_process unknown, molecular_function unknown,
YMR014W	BUD22	3.3	BUD site selection, biological_process unknown, molecular_function unknown,
YGL071W	RCS1	3.3	Putative transcription factor that binds the consensus site PyPuCACCCPu, iron transport,
YLR201C		3.2	biological_process unknown, molecular_function unknown,
YNR047W		3.2	biological_process unknown, molecular_function unknown,
YPR123C		3.2	biological_process unknown, molecular_function unknown,
YMR202W	ERG2	3.2	C-8 sterol isomerase, ergosterol biosynthesis, C-8 sterol isomerase, endoplasmic reticulum
YOR158W	PET123	3.2	Mitochondrial ribosomal protein of small subunit, protein biosynthesis, structural protein of ribosome, mitochondrial small ribosomal-subunit
YPL178W	CBC2	3.2	Small subunit of the nuclear cap binding complex
YOR164C		3.2	biological_process unknown, molecular_function unknown,
YGR081C		3.2	biological_process unknown, molecular_function unknown,
YJL179W	PFD1	3.2	bovine prefoldin subunit 1 homolog (putative), protein folding,
YDR049W		3.2	biological_process unknown, molecular_function unknown,
YBL039C	URA7	3.2	CTP synthase, highly homologus to URA8 CTP synthase,CTP synthase,
YML008C	ERG6	3.2	S-adenoslymethionine: delta 24-methyltransferase, ergosterol biosynthesis, delta(24)-sterol C-methyltransferase, endoplasmic reticulum*
YDR417C		3.2	biological_process unknown, molecular_function unknown,
YGL107C		3.2	biological_process unknown, molecular_function unknown,
YDR350C	TCM10	3.2	biological_process unknown, molecular_function unknown,
YER040W	GLN3	3.2	Transcriptional activator of nitrogen-regulated genes,transcription factor,
YLR268W	SEC22	3.2	Synaptobrevin (v-SNARE) homolog, non-selective vesicle fusion*, v-SNARE, inter-Golgi transport vesicle*
YNL252C	MRPL17	3.2	mitochondrial ribosomal protein of the large subunit, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YJL169W		3.2	biological_process unknown, molecular_function unknown,
YOR104W		3.1	biological_process unknown, molecular_function unknown,
YJL056C	ZAP1	3.1	Metalloregulatory protein involved in zinc-responsive transcriptional regulation, transcription regulation from Pol II promoter*, specific RNA polymerase II transcription factor,
YDL175C		3.1	biological_process unknown, molecular_function unknown,
YNL227C		3.1	biological_process unknown, molecular_function unknown,
YAL021C	CCR4	3.1	95 kDa containng leucine rich tandem repeats
YKR092C	SRP40	3.1	nucleolar protein that is immunologically and structurally related to rat Nopp140, a nonribosomal protein of the nucleolus and coiled bodies., nucleocytoplasmic transport, chaperone, nucleolus
YBR282W	MRPL27	3.1	Mitochondrial ribosomal protein MRPL27 (YmL27), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YJL141C	YAK1	3.1	Serine-threonine protein kinase
YNL229C	URE2	3.1	transcriptional regulator, putative glutathione transferase, nitrogen utilization regulation, transcription co-repressor, soluble fraction
YNL025C	SSN8	3.1	C-type cyclin associated with the Ssn3p cyclin-dependent kinase, repression of transcription from Pol II promoter, non-specific RNA polymerase II transcription factor*, transcription factor complex
YLR448W	RPL6B	3.1	60S ribosomal subunit protein L6B (L17B) (rp18) (YL16), protein biosynthesis*, structural protein of ribosome*, cytosolic large ribosomal (60S)-subunit
YMR293C		3.1	amidase
YLR087C		3.1	biological_process unknown, molecular_function unknown,
YIL103W		3.1	biological_process unknown, molecular_function unknown,
YDR207C	UME6	3.1	Ume6p is a C6 zinc finger URS1-binding protein., meiosis, transcription factor,
YCR028C	FEN2	3.1	Amino acid permease, biological_process unknown, molecular_function unknown,
YLL006W	MMM1	3.0	mitochondrial outer membrane protein, mitochondrion inheritance*, molecular_function unknown, mitochondrial outer membrane
YOL121C	RPS19A	3.0	40S ribosomal protein S19A (S16aA) (rp55A) (YS16A), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YNL069C	RPL16B	3.0	Ribosomal protein L16B (L21B) (rp23) (YL15), protein biosynthesis, structural protein of ribosome*, cytosolic large ribosomal (60S)-subunit
YAR002W	NUP60	3.0	nuclear pore protein
YDR518W	EUG1	3.0	Protein disulfide isomerase homolog,protein disulfide isomerase,
YHR203C	RPS4B	3.0	Ribosomal protein S4B (YS6) (rp5) (S7B), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YGR118W	RPS23A	3.0	Ribosomal protein S23A (S28A) (rp37) (YS14), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YDR076W	RAD55	3.0	RecA homolog (related to DMC1, RAD51, RAD57), interacts with Rad51p and Rad57p by two-hybrid analysis
YCR065W	HCM1	3.0	Transcription factor (fork head domain)
YLR039C	RIC1	3.0	involved in transcription of ribosomal protein genes and ribosomal RNA, transcription regulation from Pol II promoter*, molecular_function unknown, nucleus
